decade,avg_happiness,avg_energy,total_tracks
8/40s,0.628,0.591,576
2/60s,0.599,0.659,613
7/50s,0.593,0.579,780
7/40s,0.593,0.637,485
6/90s,0.591,0.631,699
1980s,0.591,0.557,23718
6/50s,0.585,0.588,716
8/80s,0.584,0.61,661
4/40s,0.582,0.61,705
8/50s,0.581,0.628,856
7/60s,0.581,0.596,628
7/30s,0.58,0.598,2038
1990s,0.579,0.583,25090
1970s,0.579,0.499,20196
9/60s,0.578,0.617,738
4/90s,0.574,0.629,1154
1930s,0.573,0.288,2436
7/90s,0.572,0.622,579
2000s,0.572,0.654,12733
2/70s,0.572,0.596,559
3/50s,0.57,0.599,858
1/10s,0.57,0.522,113782
4/60s,0.569,0.61,660
6/10s,0.568,0.584,11835
5/90s,0.566,0.609,614
4/80s,0.566,0.586,824
1/60s,0.566,0.566,663
3/40s,0.564,0.592,883
5/30s,0.562,0.637,2023
3/30s,0.562,0.61,2930
4/10s,0.56,0.579,10379
8/30s,0.558,0.615,2113
4/30s,0.558,0.592,1495
8/90s,0.557,0.647,447
7/10s,0.557,0.581,10958
6/40s,0.557,0.606,537
6/20s,0.556,0.598,8301
5/40s,0.556,0.611,665
2/30s,0.556,0.608,584
2/10s,0.556,0.566,9301
7/20s,0.555,0.618,6935
6/30s,0.555,0.613,1766
4/20s,0.555,0.623,7937
2/20s,0.554,0.603,7581
7/80s,0.553,0.615,551
2010s,0.553,0.654,3883
8/10s,0.552,0.564,8648
5/10s,0.552,0.588,10531
4/50s,0.552,0.574,907
2/40s,0.552,0.597,641
8/70s,0.551,0.577,604
6/80s,0.551,0.606,860
3/10s,0.551,0.575,11888
12/0s,0.551,0.609,33488
6/60s,0.55,0.577,856
5/50s,0.55,0.594,788
3/70s,0.55,0.563,796
9/90s,0.549,0.602,834
5/80s,0.549,0.601,618
3/20s,0.548,0.619,8126
5/60s,0.547,0.596,739
3/60s,0.546,0.591,676
10/0s,0.546,0.599,30599
8/20s,0.545,0.6,7215
5/20s,0.545,0.603,8305
9/80s,0.544,0.568,879
9/10s,0.544,0.587,12009
4/70s,0.542,0.579,999
9/40s,0.541,0.636,686
2/90s,0.541,0.594,439
9/30s,0.538,0.57,1383
2/80s,0.538,0.606,590
1/20s,0.538,0.571,6713
9/20s,0.535,0.621,9755
6/70s,0.535,0.595,736
11/0s,0.534,0.592,31735
3/80s,0.532,0.623,675
1/70s,0.531,0.553,504
1/40s,0.531,0.554,803
9/70s,0.53,0.584,794
5/70s,0.528,0.57,622
1920s,0.526,0.237,1617
1/50s,0.526,0.593,954
3/90s,0.524,0.611,644
1/30s,0.523,0.615,1954
2/50s,0.522,0.558,709
8/60s,0.521,0.571,517
7/70s,0.519,0.592,768
1/90s,0.518,0.527,578
1960s,0.516,0.364,16579
9/50s,0.514,0.605,635
1/80s,0.501,0.538,835
1950s,0.452,0.276,12277
1940s,0.434,0.249,3009
